ts_hour,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-06-16 09:30:00-04:00,212.3699951171875,214.6699981689453,211.61000061035156,214.66000366210938,7992620,0.0,0.0
2025-06-16 10:30:00-04:00,214.6699981689453,216.5500030517578,214.07699584960938,216.02999877929688,5213431,0.0,0.0
2025-06-16 11:30:00-04:00,216.00999450683594,216.27999877929688,215.19000244140625,215.27999877929688,2697717,0.0,0.0
2025-06-16 12:30:00-04:00,215.33880615234375,215.92999267578125,214.86000061035156,215.8350067138672,2133550,0.0,0.0
2025-06-16 13:30:00-04:00,215.82000732421875,215.94000244140625,215.14999389648438,215.7550048828125,1570763,0.0,0.0
2025-06-16 14:30:00-04:00,215.7550048828125,216.63999938964844,215.60000610351562,216.3000030517578,2833819,0.0,0.0
2025-06-16 15:30:00-04:00,216.30999755859375,216.88040161132812,215.89999389648438,216.16000366210938,4275387,0.0,0.0
2025-06-17 09:30:00-04:00,215.07749938964844,217.41000366210938,215.0,215.97999572753906,8315444,0.0,0.0
2025-06-17 10:30:00-04:00,215.97999572753906,216.5915069580078,215.52999877929688,216.22999572753906,3020209,0.0,0.0
2025-06-17 11:30:00-04:00,216.22999572753906,217.08709716796875,216.0399932861328,216.80999755859375,3031472,0.0,0.0
2025-06-17 12:30:00-04:00,216.7949981689453,216.86000061035156,215.22000122070312,216.01010131835938,2865663,0.0,0.0
2025-06-17 13:30:00-04:00,215.97999572753906,216.66000366210938,214.7100067138672,214.9499969482422,3378250,0.0,0.0
2025-06-17 14:30:00-04:00,214.9600067138672,215.38999938964844,214.55999755859375,215.0800018310547,2744023,0.0,0.0
2025-06-17 15:30:00-04:00,215.08999633789062,215.4600067138672,214.77000427246094,214.80999755859375,2781089,0.0,0.0
2025-06-18 09:30:00-04:00,215.08999633789062,217.9499969482422,215.02000427246094,217.75840759277344,7626651,0.0,0.0
2025-06-18 10:30:00-04:00,217.77999877929688,217.9600067138672,216.47000122070312,216.6199951171875,3947306,0.0,0.0
2025-06-18 11:30:00-04:00,216.75,216.8000030517578,215.26010131835938,215.39990234375,2696373,0.0,0.0
2025-06-18 12:30:00-04:00,215.39990234375,215.8800048828125,214.80999755859375,214.8350067138672,2701512,0.0,0.0
2025-06-18 13:30:00-04:00,214.82000732421875,216.16000366210938,214.52000427246094,215.1999969482422,3564402,0.0,0.0
2025-06-18 14:30:00-04:00,215.22579956054688,215.86000061035156,213.85000610351562,214.54010009765625,4467505,0.0,0.0
2025-06-18 15:30:00-04:00,214.52999877929688,215.35000610351562,212.50999450683594,212.55499267578125,7080332,0.0,0.0
2025-06-20 09:30:00-04:00,214.49000549316406,214.88999938964844,210.25,210.69000244140625,17750166,0.0,0.0
2025-06-20 10:30:00-04:00,210.69000244140625,211.3800048828125,209.58999633789062,210.08999633789062,5072916,0.0,0.0
2025-06-20 11:30:00-04:00,210.0399932861328,210.97999572753906,209.82000732421875,209.91000366210938,3155027,0.0,0.0
2025-06-20 12:30:00-04:00,209.9199981689453,210.89999389648438,209.2899932861328,209.30999755859375,5857358,0.0,0.0
2025-06-20 13:30:00-04:00,209.3000030517578,210.36000061035156,208.875,209.98500061035156,3038458,0.0,0.0
2025-06-20 14:30:00-04:00,210.0,210.1999969482422,208.27090454101562,208.66000366210938,4653844,0.0,0.0
2025-06-20 15:30:00-04:00,208.66000366210938,210.6699981689453,208.56500244140625,209.60459899902344,10526735,0.0,0.0
2025-06-23 09:30:00-04:00,208.68150329589844,210.38999938964844,207.38999938964844,209.85000610351562,7427232,0.0,0.0
2025-06-23 10:30:00-04:00,209.86500549316406,209.951904296875,208.5,208.87210083007812,4238378,0.0,0.0
2025-06-23 11:30:00-04:00,208.79029846191406,209.5800018310547,208.56500244140625,208.63999938964844,3318645,0.0,0.0
2025-06-23 12:30:00-04:00,208.6699981689453,209.67349243164062,207.3101043701172,209.5,5570714,0.0,0.0
2025-06-23 13:30:00-04:00,209.52999877929688,210.35000610351562,209.1999969482422,209.27499389648438,3395169,0.0,0.0
2025-06-23 14:30:00-04:00,209.2899932861328,209.64999389648438,208.8699951171875,209.0850067138672,2359712,0.0,0.0
2025-06-23 15:30:00-04:00,209.08999633789062,209.11000061035156,208.25999450683594,208.47999572753906,4215593,0.0,0.0
